URL: https://www.kellytarltons.co.nz/auckland/whats-inside/exhibits/scott-s-hut/, Size: 179196 bytes, Status: 200, Depth: 11, Time: 2024-09-23 15:05:44
URL: https://www.kellytarltons.co.nz/auckland/whats-inside/exhibits/art-aquarium/, Size: 179196 bytes, Status: 200, Depth: 12, Time: 2024-09-23 15:05:46
URL: https://www.kellytarltons.co.nz/auckland/plan-your-day/, Size: 179196 bytes, Status: 200, Depth: 12, Time: 2024-09-23 15:05:47
URL: https://www.kellytarltons.co.nz/auckland/whats-inside/exhibits/shipwreck-shores/, Size: 179196 bytes, Status: 200, Depth: 12, Time: 2024-09-23 15:05:47
URL: https://www.kellytarltons.co.nz/auckland/plan-your-day/before-you-visit/getting-here/, Size: 179196 bytes, Status: 200, Depth: 12, Time: 2024-09-23 15:05:50
URL: https://www.kellytarltons.co.nz/auckland/plan-your-day/before-you-visit/accessibility/, Size: 179196 bytes, Status: 200, Depth: 13, Time: 2024-09-23 15:05:52
URL: https://www.kellytarltons.co.nz/auckland/plan-your-day/before-you-visit/feed-and-talk-times/, Size: 179196 bytes, Status: 200, Depth: 13, Time: 2024-09-23 15:05:54
URL: https://www.kellytarltons.co.nz/auckland/plan-your-day/before-you-visit/food-drinks-gifts/, Size: 179196 bytes, Status: 200, Depth: 13, Time: 2024-09-23 15:05:56
URL: https://www.kellytarltons.co.nz/auckland/plan-your-day/information/school-holidays-activities/, Size: 179196 bytes, Status: 200, Depth: 14, Time: 2024-09-23 15:05:57
URL: https://www.kellytarltons.co.nz/auckland/plan-your-day/information/whats-on/, Size: 179196 bytes, Status: 200, Depth: 14, Time: 2024-09-23 15:05:58
URL: https://www.kellytarltons.co.nz/auckland/plan-your-day/information/your-photos/, Size: 179196 bytes, Status: 200, Depth: 14, Time: 2024-09-23 15:05:59
URL: https://www.kellytarltons.co.nz/auckland/plan-your-day/information/responsible-business/, Size: 179196 bytes, Status: 200, Depth: 15, Time: 2024-09-23 15:06:01
URL: https://support.kellytarltons.co.nz/hc/en-us/sections/115000050552-Contacting-Us, Size: 14371 bytes, Status: 200, Depth: 15, Time: 2024-09-23 15:06:01
URL: https://support.kellytarltons.co.nz/hc/en-us, Size: 28884 bytes, Status: 200, Depth: 16, Time: 2024-09-23 15:06:01
URL: https://www.kellytarltons.co.nz/auckland/plan-your-day/information/about-kelly-tarlton/, Size: 179196 bytes, Status: 200, Depth: 15, Time: 2024-09-23 15:06:04
URL: https://www.kellytarltons.co.nz/auckland/conservation/, Size: 179196 bytes, Status: 200, Depth: 16, Time: 2024-09-23 15:06:08
URL: https://www.kellytarltons.co.nz/auckland/plan-your-day/information/contact-us/, Size: 179196 bytes, Status: 200, Depth: 16, Time: 2024-09-23 15:06:08
URL: https://www.kellytarltons.co.nz/auckland/plan-your-day/information/international-wheelchair-day/, Size: 179196 bytes, Status: 200, Depth: 16, Time: 2024-09-23 15:06:08
URL: https://www.kellytarltons.co.nz/auckland/whats-inside/animals/jellyfish-king-crabs/, Size: 179196 bytes, Status: 200, Depth: 16, Time: 2024-09-23 15:06:09
